PASSAGEIROS PAGOS,PASSAGEIROS GRÁTIS,CARGA PAGA (KG),ASK,RPK,ATK,RTK,DISTÂNCIA VOADA (KM),DECOLAGENS,CORREIO KM,HORAS VOADAS
60.0,0.0,0.0,48576.0,33120.0,7746.0,2825.0,6072.0,11.0,0.0,"25,6"
0.0,0.0,0.0,0.0,0.0,611.0,0.0,449.0,1.0,0.0,"1,73333"
0.0,0.0,0.0,0.0,0.0,1202.0,0.0,898.0,2.0,0.0,"3,76667"
49.0,0.0,0.0,24948.0,22638.0,5638.0,1880.0,4158.0,9.0,0.0,"16,35"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1420.0,2.0,0.0,"5,01667"
0.0,0.0,0.0,2700.0,0.0,427.0,0.0,300.0,1.0,0.0,"1,4"
32.0,1.0,0.0,14400.0,9600.0,3426.0,784.0,2400.0,8.0,0.0,"10,5667"
22.0,0.0,0.0,14272.0,4906.0,2573.0,404.0,1784.0,8.0,0.0,"9,56667"
6.0,0.0,0.0,3771.0,2514.0,564.0,235.0,419.0,1.0,0.0,"1,83333"
36.0,0.0,0.0,17598.0,15084.0,4006.0,1304.0,2933.0,7.0,0.0,"12,1"
7.0,0.0,0.0,8288.0,1036.0,1774.0,90.0,1184.0,8.0,0.0,"6,41667"
0.0,0.0,0.0,0.0,0.0,2579.0,0.0,1760.0,8.0,0.0,"8,2"
53.0,0.0,0.0,14080.0,11660.0,2567.0,967.0,1760.0,8.0,0.0,"9,18333"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,0.0,"0,6"
27.0,3.0,0.0,51200.0,10800.0,8591.0,886.0,6400.0,16.0,0.0,"30,1333"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,"7,78333"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,749.0,1.0,0.0,"2,93333"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1503.0,3.0,0.0,"6,53333"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,758.0,2.0,0.0,"3,83333"
638.0,18.0,0.0,361566.0,241802.0,55013.0,20277.0,40174.0,106.0,0.0,"186,65"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,998.0,2.0,0.0,"4,56667"
0.0,0.0,0.0,0.0,0.0,608.0,0.0,499.0,1.0,0.0,"2,76667"
25.0,6.0,0.0,23672.0,6725.0,4271.0,550.0,2959.0,11.0,0.0,"14,1667"
60.0,2.0,0.0,21357.0,6780.0,3560.0,540.0,2373.0,21.0,0.0,"19,4833"
3.0,1.0,0.0,12600.0,600.0,2061.0,53.0,1400.0,7.0,0.0,"7,53333"
58.0,1.0,0.0,37310.0,23780.0,7272.0,1926.0,5330.0,13.0,0.0,"23,8667"
39.0,0.0,0.0,45144.0,16302.0,6835.0,1360.0,5016.0,12.0,0.0,"21,4167"
91.0,1.0,0.0,38760.0,29393.0,7732.0,2389.0,5491.0,17.0,0.0,"26,6167"
13.0,2.0,0.0,17010.0,5265.0,3241.0,429.0,2430.0,6.0,0.0,12
6.0,0.0,0.0,4968.0,3312.0,719.0,248.0,552.0,1.0,0.0,"2,08333"
38.0,0.0,0.0,49680.0,20976.0,7091.0,1687.0,5520.0,10.0,0.0,"22,85"
14.0,0.0,0.0,9792.0,1904.0,1848.0,157.0,1224.0,9.0,0.0,"6,43333"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4
30.0,0.0,0.0,35046.0,15930.0,7664.0,1330.0,5841.0,11.0,0.0,"22,6833"
49.0,0.0,0.0,28980.0,22540.0,5532.0,1839.0,4140.0,9.0,0.0,"17,5167"
1.0,0.0,0.0,4305.0,205.0,912.0,18.0,615.0,3.0,0.0,"2,85"
2.0,0.0,0.0,18090.0,402.0,2969.0,30.0,2010.0,10.0,0.0,"9,93333"
0.0,0.0,0.0,0.0,0.0,607.0,0.0,643.0,1.0,0.0,"4,61667"
51.0,2.0,0.0,57600.0,20400.0,8667.0,1684.0,6400.0,16.0,0.0,"29,7167"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,"37,35"
26.0,0.0,0.0,22848.0,21216.0,3695.0,2080.0,3264.0,4.0,0.0,"13,4833"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,707.0,1.0,0.0,"2,91667"
67.0,0.0,0.0,89082.0,47369.0,15222.0,4064.0,12726.0,18.0,0.0,"51,7333"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"2,1"
32.0,1.0,0.0,14196.0,10816.0,3315.0,919.0,2366.0,7.0,0.0,"10,7167"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,589.0,1.0,0.0,"2,6"
55.0,3.0,0.0,33800.0,28600.0,5432.0,2385.0,4160.0,8.0,0.0,"17,3333"
6.0,1.0,0.0,7680.0,960.0,1912.0,78.0,1280.0,8.0,0.0,"7,16667"
19.0,0.0,0.0,13068.0,6897.0,5555.0,564.0,3993.0,11.0,0.0,"17,3167"
31.0,0.0,0.0,25410.0,11253.0,3992.0,929.0,2904.0,8.0,0.0,"13,4167"
48.0,0.0,0.0,40774.0,33744.0,6829.0,2993.0,5624.0,8.0,0.0,"22,1333"
19.0,0.0,0.0,11004.0,4978.0,2245.0,393.0,1572.0,6.0,0.0,"7,8"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,1.0,0.0,"1,46667"
0.0,0.0,0.0,0.0,0.0,838.0,0.0,592.0,2.0,0.0,"2,7"
36.0,0.0,0.0,18225.0,8100.0,2938.0,718.0,2025.0,9.0,0.0,"10,4667"
3.0,0.0,0.0,3312.0,1104.0,1515.0,118.0,1104.0,3.0,0.0,"5,33333"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1881.0,3.0,0.0,"8,4"
4.0,0.0,0.0,9648.0,804.0,1783.0,60.0,1206.0,6.0,0.0,"5,86667"
0.0,0.0,0.0,10430.0,0.0,2108.0,0.0,1490.0,5.0,0.0,"7,15"
9.0,0.0,0.0,20808.0,2601.0,3307.0,227.0,2312.0,8.0,0.0,"10,5667"
0.0,0.0,0.0,4392.0,0.0,666.0,0.0,488.0,1.0,0.0,"1,75"
1.0,0.0,0.0,9468.0,263.0,1525.0,25.0,1052.0,4.0,0.0,"4,43333"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,362.0,1.0,0.0,"1,61667"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,2.0,0.0,"1,38333"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,398.0,1.0,0.0,"1,95"
4.0,1.0,0.0,3582.0,1592.0,528.0,132.0,398.0,1.0,0.0,"2,03333"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.0,1.0,0.0,"0,866667"
0.0,0.0,0.0,0.0,0.0,843.0,0.0,592.0,2.0,0.0,"2,55"
0.0,0.0,0.0,0.0,0.0,922.0,0.0,771.0,1.0,0.0,"2,81667"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,749.0,1.0,0.0,"2,95"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,868.0,1.0,0.0,"3,53333"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,402.0,1.0,0.0,"1,65"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1503.0,3.0,0.0,"6,46667"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,"42,8667"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.0,15.0,0.0,"9,8"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.0,1.0,0.0,"1,55"
0.0,0.0,0.0,0.0,0.0,395.0,0.0,271.0,1.0,0.0,"1,08333"
47.0,3.0,0.0,24300.0,10575.0,3917.0,875.0,2700.0,12.0,0.0,"14,0333"
12.0,0.0,0.0,8208.0,1824.0,1310.0,150.0,912.0,6.0,0.0,"7,38333"
10.0,0.0,0.0,7344.0,2720.0,1182.0,212.0,816.0,3.0,0.0,"3,43333"
7.0,0.0,0.0,22848.0,5712.0,3663.0,487.0,3264.0,4.0,0.0,"13,3833"
5.0,0.0,0.0,11844.0,1645.0,1836.0,140.0,1316.0,4.0,0.0,"6,2"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,379.0,1.0,0.0,"1,8"
701.0,10.0,0.0,364977.0,265679.0,54418.0,22390.0,40553.0,107.0,0.0,"207,517"
252.0,11.0,0.0,128205.0,97020.0,19364.0,8495.0,14245.0,37.0,0.0,"66,3667"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,2.0,0.0,"1,08333"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,490.0,1.0,0.0,"2,13333"
227.0,8.0,0.0,79092.0,38363.0,12957.0,3256.0,8788.0,52.0,0.0,"52,6333"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,392.0,14.0,0.0,"8,66667"
0.0,0.0,0.0,0.0,0.0,34.0,0.0,28.0,1.0,0.0,"2,78333"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,770.0,2.0,0.0,"3,16667"
224.0,13.0,0.0,131670.0,86240.0,20697.0,7257.0,15015.0,39.0,0.0,"66,25"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,"2,26667"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1323.0,3.0,0.0,"5,45"
0.0,0.0,0.0,0.0,0.0,15589.0,0.0,11466.0,26.0,0.0,"46,55"
20.0,0.0,0.0,21870.0,5400.0,3448.0,438.0,2430.0,9.0,0.0,"12,6167"
31.0,1.0,0.0,22248.0,9579.0,3474.0,806.0,2472.0,8.0,0.0,"11,8667"
110.0,8.0,0.0,84672.0,43120.0,12963.0,3501.0,9408.0,24.0,0.0,"42,1167"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,898.0,2.0,0.0,"3,41667"
0.0,0.0,0.0,0.0,0.0,901.0,0.0,771.0,1.0,0.0,"2,98333"
3.0,0.0,0.0,2358.0,786.0,381.0,63.0,262.0,1.0,0.0,"1,03333"
62.0,0.0,0.0,33264.0,28644.0,5467.0,2469.0,4158.0,9.0,0.0,"18,4167"
0.0,0.0,0.0,0.0,0.0,18228.0,0.0,13671.0,31.0,0.0,"59,95"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.0,1.0,0.0,"1,33333"
0.0,0.0,0.0,0.0,0.0,436.0,0.0,325.0,1.0,0.0,"1,86667"
40.0,1.0,0.0,21294.0,13520.0,3278.0,1029.0,2366.0,7.0,0.0,"11,3333"
0.0,0.0,0.0,0.0,0.0,518.0,0.0,368.0,1.0,0.0,"1,41667"
17.0,0.0,0.0,9576.0,2584.0,2037.0,235.0,1368.0,9.0,0.0,"7,63333"
0.0,0.0,0.0,0.0,0.0,804.0,0.0,560.0,2.0,0.0,"2,68333"
5.0,0.0,0.0,5400.0,600.0,887.0,46.0,600.0,5.0,0.0,"4,86667"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.0,1.0,0.0,"0,816667"
27.0,1.0,0.0,11844.0,8883.0,1841.0,764.0,1316.0,4.0,0.0,"6,11667"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1254.0,2.0,0.0,"5,2"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,868.0,1.0,0.0,"3,33333"
28.0,1.0,0.0,27090.0,12040.0,5253.0,999.0,3870.0,9.0,0.0,"15,95"
27.0,0.0,0.0,27945.0,16767.0,6984.0,1342.0,5589.0,9.0,0.0,"22,4667"
17.0,2.0,0.0,13536.0,3196.0,2230.0,275.0,1504.0,8.0,0.0,"7,46667"
30.0,1.0,0.0,27000.0,11250.0,4678.0,923.0,3375.0,9.0,0.0,"14,15"
5.0,3.0,0.0,3267.0,605.0,545.0,47.0,363.0,3.0,0.0,"2,28333"
2.0,0.0,0.0,3888.0,864.0,588.0,82.0,432.0,1.0,0.0,"1,71667"
7.0,1.0,0.0,10080.0,1960.0,1980.0,171.0,1400.0,5.0,0.0,"6,96667"
19.0,3.0,0.0,10080.0,3040.0,1653.0,269.0,1120.0,7.0,0.0,"7,23333"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1420.0,2.0,0.0,"5,96667"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1178.0,2.0,0.0,"4,86667"
0.0,0.0,0.0,0.0,0.0,86.0,0.0,57.0,1.0,0.0,"0,783333"
49.0,0.0,0.0,33280.0,25480.0,5339.0,2145.0,4160.0,8.0,0.0,"18,2833"
2.0,0.0,0.0,13240.0,662.0,3710.0,49.0,2648.0,8.0,0.0,"11,7"
1.0,0.0,0.0,2700.0,300.0,423.0,22.0,300.0,1.0,0.0,"1,41667"
16.0,1.0,0.0,21600.0,4800.0,3399.0,419.0,2400.0,8.0,0.0,"10,6667"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,912.0,1.0,0.0,"3,58333"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"0,45"
4.0,0.0,0.0,23672.0,1076.0,4239.0,80.0,2959.0,11.0,0.0,"14,45"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,540.0,1.0,0.0,"2,43333"
9.0,0.0,0.0,2259.0,2259.0,359.0,169.0,251.0,1.0,0.0,"1,28333"
0.0,0.0,0.0,1224.0,0.0,206.0,0.0,136.0,1.0,0.0,"0,633333"
16.0,0.0,0.0,12240.0,2176.0,2003.0,167.0,1360.0,10.0,0.0,"9,33333"
34.0,0.0,0.0,21870.0,9180.0,3457.0,744.0,2430.0,9.0,0.0,"11,9167"
43.0,0.0,0.0,34830.0,18490.0,5187.0,1405.0,3870.0,9.0,0.0,"16,8333"
2.0,0.0,0.0,8442.0,402.0,1728.0,34.0,1206.0,6.0,0.0,"7,4"
47.0,0.0,0.0,39744.0,29187.0,6145.0,2225.0,4968.0,8.0,0.0,"20,45"
31.0,0.0,0.0,22248.0,9579.0,3503.0,747.0,2472.0,8.0,0.0,"10,7"
